,0
AT,9635.319090301793
BE,7313.585751527994
BG,2768.4755884988213
CY,512.9583333333333
CZ,3846.453887279958
DE,105519.33844493229
DK,9937.161113435863
EE,1166.8310066113613
EL,9932.95358108764
ES,64122.134711065555
FI,9319.733516134705
FR,66062.75658066946
HR,2334.3179152531548
HU,3131.6978021739565
IE,8054.293914120995
IT,26003.9717257744
LT,2271.2740521352575
LU,630.29846677482
LV,950.136720546376
MT,0.0
NL,25198.05166666666
PL,14695.299583719521
PT,11990.231704885136
RO,10572.279056764664
SE,14511.699390021427
SI,312.2697916666667
SK,1821.949994885811
